ID,Title,description,topics,category,hints,similar_questions,corpus,length
1169,invalid transaction,transaction possibly invalid amount exceeds occurs within including minute another transaction name different city given array string transaction transactionsi consists commaseparated value representing name time minute amount city transaction return list transaction possibly invalid may return answer order nbsp example input transaction quotalice mtvquotquotalice beijingquot output quotalice mtvquotquotalice beijingquot explanation first transaction invalid second transaction occurs within difference minute name different city similarly second one invalid example input transaction quotalice mtvquotquotalice mtvquot output quotalice mtvquot example input transaction quotalice mtvquotquotbob mtvquot output quotbob mtvquot nbsp constraint transactionslength lt transactionsi take form quotnametimeamountcityquot name city consist lowercase english letter length time consist digit represent integer amount consist digit represent integer,array hash table string sorting,algorithm,split string four array transaction check invalid loop help four array generated step end perform operation,,TITLE invalid transaction CATEGORY algorithm TOPICS array hash table string sorting DESCRIPTION transaction possibly invalid amount exceeds occurs within including minute another transaction name different city given array string transaction transactionsi consists commaseparated value representing name time minute amount city transaction return list transaction possibly invalid may return answer order nbsp example input transaction quotalice mtvquotquotalice beijingquot output quotalice mtvquotquotalice beijingquot explanation first transaction invalid second transaction occurs within difference minute name different city similarly second one invalid example input transaction quotalice mtvquotquotalice mtvquot output quotalice mtvquot example input transaction quotalice mtvquotquotbob mtvquot output quotbob mtvquot nbsp constraint transactionslength lt transactionsi take form quotnametimeamountcityquot name city consist lowercase english letter length time consist digit represent integer amount consist digit represent integer HINTS split string four array transaction check invalid loop help four array generated step end perform operation SIMILAR ,139
1360,number day two date,write program count number day two date two date given string format yyyymmdd nbspas shown example nbsp example input date date output example input date date output nbsp constraint given date validnbspdates year,math string,algorithm,create function fdate count number day date calculate answer answer fdate fdate construct fdate year year sum case leap year sum month number day consider case current year leap finally sum day,title count day spent together titleslug countdaysspenttogether difficulty easy translatedtitle null,TITLE number day two date CATEGORY algorithm TOPICS math string DESCRIPTION write program count number day two date two date given string format yyyymmdd nbspas shown example nbsp example input date date output example input date date output nbsp constraint given date validnbspdates year HINTS create function fdate count number day date calculate answer answer fdate fdate construct fdate year year sum case leap year sum month number day consider case current year leap finally sum day SIMILAR title count day spent together titleslug countdaysspenttogether difficulty easy translatedtitle null,89
1362,closest divisor,given integer num find closest two integer absolute difference whose product equalsnbsp num nbspor num return two integer order nbsp example input num output explanation num closest divisor amp num closest divisor amp hence amp chosen example input num output example input num output nbsp constraint lt num lt,math,algorithm,find divisor n n find divisor number need iterate square root number,title distinct prime factor product array titleslug distinctprimefactorsofproductofarray difficulty medium translatedtitle null,TITLE closest divisor CATEGORY algorithm TOPICS math DESCRIPTION given integer num find closest two integer absolute difference whose product equalsnbsp num nbspor num return two integer order nbsp example input num output explanation num closest divisor amp num closest divisor amp hence amp chosen example input num output example input num output nbsp constraint lt num lt HINTS find divisor n n find divisor number need iterate square root number SIMILAR title distinct prime factor product array titleslug distinctprimefactorsofproductofarray difficulty medium translatedtitle null,83
1363,largest multiple three,given array digit digit return largest multiple three formed concatenating given digit order answer return empty string since answer may fit integer data type return answer string note returning answer must contain unnecessary leading zero nbsp example input digit output quot quot example input digit output quot quot example input digit output quotquot nbsp constraint lt digitslength lt lt digitsi lt,array math dynamic programming greedy sorting,algorithm,number multiple three sum digit multiple three use dynamic programming find maximum number try maximize number digit number sort digit descending order find maximum number,,TITLE largest multiple three CATEGORY algorithm TOPICS array math dynamic programming greedy sorting DESCRIPTION given array digit digit return largest multiple three formed concatenating given digit order answer return empty string since answer may fit integer data type return answer string note returning answer must contain unnecessary leading zero nbsp example input digit output quot quot example input digit output quot quot example input digit output quotquot nbsp constraint lt digitslength lt lt digitsi lt HINTS number multiple three sum digit multiple three use dynamic programming find maximum number try maximize number digit number sort digit descending order find maximum number SIMILAR ,102
1164,product price given date,table product column name type productid int newprice int changedate date productid changedate primary key combination column unique value table row table indicates price product changed new price date nbsp write solution find price product assume price product change return result table order thenbspresult format following example nbsp example input product table productid newprice changedate output productid price,database,database,,,TITLE product price given date CATEGORY database TOPICS database DESCRIPTION table product column name type productid int newprice int changedate date productid changedate primary key combination column unique value table row table indicates price product changed new price date nbsp write solution find price product assume price product change return result table order thenbspresult format following example nbsp example input product table productid newprice changedate output productid price HINTS  SIMILAR ,70
1175,prime arrangement,return number permutation n prime number prime index indexed recall integernbspis prime greater cannot written product two positive integersnbspboth smaller since answer may large return answer modulo nbsp example input n output explanation example valid permutation prime number index example input n output nbsp constraint lt n lt,math,algorithm,solve problem prime number composite number separately multiply number permutation prime number prime index number permutation composite number composite index number permutation equal factorial,,TITLE prime arrangement CATEGORY algorithm TOPICS math DESCRIPTION return number permutation n prime number prime index indexed recall integernbspis prime greater cannot written product two positive integersnbspboth smaller since answer may large return answer modulo nbsp example input n output explanation example valid permutation prime number index example input n output nbsp constraint lt n lt HINTS solve problem prime number composite number separately multiply number permutation prime number prime index number permutation composite number composite index number permutation equal factorial SIMILAR ,82
1176,diet plan performance,,array sliding window,algorithm,use sliding window technique aka two pointer,,TITLE diet plan performance CATEGORY algorithm TOPICS array sliding window DESCRIPTION  HINTS use sliding window technique aka two pointer SIMILAR ,20
1382,balance binary search tree,given root binary search tree return balanced binary search tree node value one answer return binary search tree balanced depth two subtrees every node never differs nbsp example input root null null null nullnull output nullnullnull explanation correct answer null also correct example input root output nbsp constraint number node tree range lt nodeval lt,divide conquer greedy tree depthfirst search binary search tree binary tree,algorithm,convert tree sorted array using inorder traversal construct new balanced tree sorted array recursively,,TITLE balance binary search tree CATEGORY algorithm TOPICS divide conquer greedy tree depthfirst search binary search tree binary tree DESCRIPTION given root binary search tree return balanced binary search tree node value one answer return binary search tree balanced depth two subtrees every node never differs nbsp example input root null null null nullnull output nullnullnull explanation correct answer null also correct example input root output nbsp constraint number node tree range lt nodeval lt HINTS convert tree sorted array using inorder traversal construct new balanced tree sorted array recursively SIMILAR ,91
1186,maximum subarray sum one deletion,given array integer return maximum sum nonempty nbspsubarray contiguous element one element deletionnbspin word want choose subarray optionally delete one element still least one element left thenbspsum remaining element maximum possible note subarray need nonempty deleting one element nbsp example input arr output explanation choose drop thus subarray becomes maximum value example input arr output explanation choose maximum sum example input arr output explanation nbspthe final subarray need nonempty choose delete get empty subarray make sum equal nbsp constraint lt arrlength lt lt arri lt,array dynamic programming,algorithm,solve problem deletion allowed try deleting element find maximum subarray sum side element efficiently use idea kadanes algorithm,title maximize subarray sum removing occurrence one element titleslug maximizesubarraysumafterremovingalloccurrencesofoneelement difficulty hard translatedtitle null title maximum unique subarray sum deletion titleslug maximumuniquesubarraysumafterdeletion difficulty easy translatedtitle null,TITLE maximum subarray sum one deletion CATEGORY algorithm TOPICS array dynamic programming DESCRIPTION given array integer return maximum sum nonempty nbspsubarray contiguous element one element deletionnbspin word want choose subarray optionally delete one element still least one element left thenbspsum remaining element maximum possible note subarray need nonempty deleting one element nbsp example input arr output explanation choose drop thus subarray becomes maximum value example input arr output explanation choose maximum sum example input arr output explanation nbspthe final subarray need nonempty choose delete get empty subarray make sum equal nbsp constraint lt arrlength lt lt arri lt HINTS solve problem deletion allowed try deleting element find maximum subarray sum side element efficiently use idea kadanes algorithm SIMILAR title maximize subarray sum removing occurrence one element titleslug maximizesubarraysumafterremovingalloccurrencesofoneelement difficulty hard translatedtitle null title maximum unique subarray sum deletion titleslug maximumuniquesubarraysumafterdeletion difficulty easy translatedtitle null,144
1174,immediate food delivery ii,table delivery column name type deliveryid int customerid int orderdate date customerprefdeliverydate date deliveryid column unique value table table hold information food delivery customer make order date specify preferred delivery date order date nbsp customer preferred delivery date order date order called immediate otherwise called scheduled first order customer order earliest order date customer made guaranteed customer precisely one first order write solution find percentage immediate order first order customer rounded decimal place thenbspresult format following example nbsp example input delivery table deliveryid customerid orderdate customerprefdeliverydate output immediatepercentage explanation customer id first order delivery id scheduled customer id first order delivery id immediate customer id first order delivery id scheduled customer id first order delivery id immediate hence half customer immediate first order,database,database,,,TITLE immediate food delivery ii CATEGORY database TOPICS database DESCRIPTION table delivery column name type deliveryid int customerid int orderdate date customerprefdeliverydate date deliveryid column unique value table table hold information food delivery customer make order date specify preferred delivery date order date nbsp customer preferred delivery date order date order called immediate otherwise called scheduled first order customer order earliest order date customer made guaranteed customer precisely one first order write solution find percentage immediate order first order customer rounded decimal place thenbspresult format following example nbsp example input delivery table deliveryid customerid orderdate customerprefdeliverydate output immediatepercentage explanation customer id first order delivery id scheduled customer id first order delivery id immediate customer id first order delivery id scheduled customer id first order delivery id immediate hence half customer immediate first order HINTS  SIMILAR ,135
1550,three consecutive odds,given integer array arr return true nbspif three consecutive odd number array otherwise returnnbsp false nbsp example input arr output false explanation three consecutive odds example input arr output true explanation three consecutive odds nbsp constraint lt arrlength lt lt arri lt,array,algorithm,check every three consecutive number array parity,,TITLE three consecutive odds CATEGORY algorithm TOPICS array DESCRIPTION given integer array arr return true nbspif three consecutive odd number array otherwise returnnbsp false nbsp example input arr output false explanation three consecutive odds example input arr output true explanation three consecutive odds nbsp constraint lt arrlength lt lt arri lt HINTS check every three consecutive number array parity SIMILAR ,60
1954,minimum garden perimeter collect enough apple,garden represented infinite grid apple tree planted every integer coordinate apple tree planted integer coordinate j j apple growing buy axisaligned square plot land centered given integer neededapples return minimum perimeter plot least neededapples apple inside perimeter plot value x defined x x gt x x lt nbsp example input neededapples output explanation square plot side length contain apple however square plot side length apple inside depicted image perimeter example input neededapples output example input neededapples output nbsp constraint lt neededapples lt,math binary search,algorithm,find formula number apple inside square side length l iterate possible length square enough apple collected,,TITLE minimum garden perimeter collect enough apple CATEGORY algorithm TOPICS math binary search DESCRIPTION garden represented infinite grid apple tree planted every integer coordinate apple tree planted integer coordinate j j apple growing buy axisaligned square plot land centered given integer neededapples return minimum perimeter plot least neededapples apple inside perimeter plot value x defined x x gt x x lt nbsp example input neededapples output explanation square plot side length contain apple however square plot side length apple inside depicted image perimeter example input neededapples output example input neededapples output nbsp constraint lt neededapples lt HINTS find formula number apple inside square side length l iterate possible length square enough apple collected SIMILAR ,114
1483,kth ancestor tree node,given tree n node numbered n form parent array parent parenti parent th node root tree node find k th ancestor given node k th ancestor tree node k th node path node root node implement treeancestor class treeancestorint n int parent initializes object number node tree parent array int getkthancestorint node int k return k th ancestor given node node ancestor return nbsp example input quottreeancestorquot quotgetkthancestorquot quotgetkthancestorquot quotgetkthancestorquot output null explanation treeancestor treeancestor new treeancestor treeancestorgetkthancestor return parent treeancestorgetkthancestor return grandparent treeancestorgetkthancestor return ancestor nbsp constraint lt k lt n lt parentlength n parent lt parenti lt n lt lt n lt node lt n query,binary search dynamic programming tree depthfirst search breadthfirst search design,algorithm,query must answered efficiently avoid time limit exceeded verdict use sparse table dynamic programming application travel tree upwards fast way,title minimum edge weight equilibrium query tree titleslug minimumedgeweightequilibriumqueriesinatree difficulty hard translatedtitle null,TITLE kth ancestor tree node CATEGORY algorithm TOPICS binary search dynamic programming tree depthfirst search breadthfirst search design DESCRIPTION given tree n node numbered n form parent array parent parenti parent th node root tree node find k th ancestor given node k th ancestor tree node k th node path node root node implement treeancestor class treeancestorint n int parent initializes object number node tree parent array int getkthancestorint node int k return k th ancestor given node node ancestor return nbsp example input quottreeancestorquot quotgetkthancestorquot quotgetkthancestorquot quotgetkthancestorquot output null explanation treeancestor treeancestor new treeancestor treeancestorgetkthancestor return parent treeancestorgetkthancestor return grandparent treeancestorgetkthancestor return ancestor nbsp constraint lt k lt n lt parentlength n parent lt parenti lt n lt lt n lt node lt n query HINTS query must answered efficiently avoid time limit exceeded verdict use sparse table dynamic programming application travel tree upwards fast way SIMILAR title minimum edge weight equilibrium query tree titleslug minimumedgeweightequilibriumqueriesinatree difficulty hard translatedtitle null,162
1179,reformat department table,table department column name type id int revenue int month varchar sqlid month primary key table table information revenue department per month month value quotjanquotquotfebquotquotmarquotquotaprquotquotmayquotquotjunquotquotjulquotquotaugquotquotsepquotquotoctquotquotnovquotquotdecquot nbsp reformat table department id column revenue column month return result table order result format following example nbsp example input department table id revenue month jan jan feb feb mar output id janrevenue febrevenue marrevenue decrevenue null null null null null null null explanation revenue apr dec null note result table column department id month,database,database,,,TITLE reformat department table CATEGORY database TOPICS database DESCRIPTION table department column name type id int revenue int month varchar sqlid month primary key table table information revenue department per month month value quotjanquotquotfebquotquotmarquotquotaprquotquotmayquotquotjunquotquotjulquotquotaugquotquotsepquotquotoctquotquotnovquotquotdecquot nbsp reformat table department id column revenue column month return result table order result format following example nbsp example input department table id revenue month jan jan feb feb mar output id janrevenue febrevenue marrevenue decrevenue null null null null null null null explanation revenue apr dec null note result table column department id month HINTS  SIMILAR ,91
2139,minimum move reach target score,playing game integer start integer want reach integer target one move either increment current integer one ie x x double current integer ie x x use increment operation number time however use double operation maxdoubles time given two integer target maxdoubles return minimum number move needed reach target starting nbsp example input target maxdoubles output explanation keep incrementing reach target example input target maxdoubles output explanation initially x increment time x double x increment x double x increment x example input target maxdoubles output explanation initially x increment x double x increment x double x nbsp constraint lt target lt lt maxdoubles lt,math greedy,algorithm,solve opposite problem start given score move better use move second type lose score fast,title number step reduce number zero titleslug numberofstepstoreduceanumbertozero difficulty easy translatedtitle null title number step reduce number binary representation one titleslug numberofstepstoreduceanumberinbinaryrepresentationtoone difficulty medium translatedtitle null,TITLE minimum move reach target score CATEGORY algorithm TOPICS math greedy DESCRIPTION playing game integer start integer want reach integer target one move either increment current integer one ie x x double current integer ie x x use increment operation number time however use double operation maxdoubles time given two integer target maxdoubles return minimum number move needed reach target starting nbsp example input target maxdoubles output explanation keep incrementing reach target example input target maxdoubles output explanation initially x increment time x double x increment x double x increment x example input target maxdoubles output explanation initially x increment x double x increment x double x nbsp constraint lt target lt lt maxdoubles lt HINTS solve opposite problem start given score move better use move second type lose score fast SIMILAR title number step reduce number zero titleslug numberofstepstoreduceanumbertozero difficulty easy translatedtitle null title number step reduce number binary representation one titleslug numberofstepstoreduceanumberinbinaryrepresentationtoone difficulty medium translatedtitle null,158
1405,longest happy string,string called happy satisfies following condition contains letter b c contain quotaaaquot quotbbbquot quotcccquot substring contains occurrence letter contains b occurrence letter b contains c occurrence letter c given three integer b c return longest possible happy string multiple longest happy string return string return empty string quotquot substring contiguous sequence character within string nbsp example input b c output quotccaccbccquot explanation quotccbccaccquot would also correct answer example input b c output quotaabaaquot explanation correct answer case nbsp constraint lt b c lt b c gt,string greedy heap priority queue,algorithm,use greedy approach use letter maximum current limit added without breaking condition,title reorganize string titleslug reorganizestring difficulty medium translatedtitle null,TITLE longest happy string CATEGORY algorithm TOPICS string greedy heap priority queue DESCRIPTION string called happy satisfies following condition contains letter b c contain quotaaaquot quotbbbquot quotcccquot substring contains occurrence letter contains b occurrence letter b contains c occurrence letter c given three integer b c return longest possible happy string multiple longest happy string return string return empty string quotquot substring contiguous sequence character within string nbsp example input b c output quotccaccbccquot explanation quotccbccaccquot would also correct answer example input b c output quotaabaaquot explanation correct answer case nbsp constraint lt b c lt b c gt HINTS use greedy approach use letter maximum current limit added without breaking condition SIMILAR title reorganize string titleslug reorganizestring difficulty medium translatedtitle null,122
1944,number visible people queue,n people standing queue numbered n left right order given array height distinct integer heightsi represents height th person person see another person right queue everybody shorter formally th person see j th person lt j minheightsi heightsj gt maxheightsi heightsi heightsj return array answer length n answeri number people th person see right queue nbsp example input height output explanation person see person person see person person see person person see person person see person person see one since nobody right example input height output nbsp constraint n heightslength lt n lt lt heightsi lt value height unique,array stack monotonic stack,algorithm,solve problem quadratic complexity every subarray start index keep finding new maximum value value larger arri found since limit high need linear solution use stack keep value array sorted iterate array end start keep popping stack element sorted order value larger arri found one person see,title building ocean view titleslug buildingswithanoceanview difficulty medium translatedtitle null title sum subarray range titleslug sumofsubarrayranges difficulty medium translatedtitle null title sum total strength wizard titleslug sumoftotalstrengthofwizards difficulty hard translatedtitle null title number people seen grid titleslug numberofpeoplethatcanbeseeninagrid difficulty medium translatedtitle null title find building alice bob meet titleslug findbuildingwherealiceandbobcanmeet difficulty hard translatedtitle null,TITLE number visible people queue CATEGORY algorithm TOPICS array stack monotonic stack DESCRIPTION n people standing queue numbered n left right order given array height distinct integer heightsi represents height th person person see another person right queue everybody shorter formally th person see j th person lt j minheightsi heightsj gt maxheightsi heightsi heightsj return array answer length n answeri number people th person see right queue nbsp example input height output explanation person see person person see person person see person person see person person see person person see one since nobody right example input height output nbsp constraint n heightslength lt n lt lt heightsi lt value height unique HINTS solve problem quadratic complexity every subarray start index keep finding new maximum value value larger arri found since limit high need linear solution use stack keep value array sorted iterate array end start keep popping stack element sorted order value larger arri found one person see SIMILAR title building ocean view titleslug buildingswithanoceanview difficulty medium translatedtitle null title sum subarray range titleslug sumofsubarrayranges difficulty medium translatedtitle null title sum total strength wizard titleslug sumoftotalstrengthofwizards difficulty hard translatedtitle null title number people seen grid titleslug numberofpeoplethatcanbeseeninagrid difficulty medium translatedtitle null title find building alice bob meet titleslug findbuildingwherealiceandbobcanmeet difficulty hard translatedtitle null,214
1193,monthly transaction,table transaction column name type id int country varchar state enum amount int transdate date id primary key table table information incoming transaction state column enum type quotapprovedquot quotdeclinedquot nbsp write sql query find month country number transaction total amount number approved transaction total amount return result table order query result format following example nbsp example input transaction table id country state amount transdate u approved u declined u approved de approved output month country transcount approvedcount transtotalamount approvedtotalamount u u de,database,database,,title monthly transaction ii titleslug monthlytransactionsii difficulty medium translatedtitle null,TITLE monthly transaction CATEGORY database TOPICS database DESCRIPTION table transaction column name type id int country varchar state enum amount int transdate date id primary key table table information incoming transaction state column enum type quotapprovedquot quotdeclinedquot nbsp write sql query find month country number transaction total amount number approved transaction total amount return result table order query result format following example nbsp example input transaction table id country state amount transdate u approved u declined u approved de approved output month country transcount approvedcount transtotalamount approvedtotalamount u u de HINTS  SIMILAR title monthly transaction ii titleslug monthlytransactionsii difficulty medium translatedtitle null,102
1207,unique number occurrence,given array integer arr return true number occurrence value array unique false otherwise nbsp example input arr output true explanation nbspthe value occurrence two value number occurrence example input arr output false example input arr output true nbsp constraint lt arrlength lt lt arri lt,array hash table,algorithm,find number occurrence element array using hash map iterate hash map check repeated value,,TITLE unique number occurrence CATEGORY algorithm TOPICS array hash table DESCRIPTION given array integer arr return true number occurrence value array unique false otherwise nbsp example input arr output true explanation nbspthe value occurrence two value number occurrence example input arr output false example input arr output true nbsp constraint lt arrlength lt lt arri lt HINTS find number occurrence element array using hash map iterate hash map check repeated value SIMILAR ,72
1514,path maximum probability,given undirected weighted graph ofnbsp n nbspnodes indexed represented edge list wherenbsp edgesi b nbspis undirected edge connecting nodesnbsp nbspandnbsp b nbspwith probability success traversing edgenbsp succprobi given two nodesnbsp start nbspandnbsp end find path maximum probability success go fromnbsp start nbsptonbsp end nbspand return success probability path fromnbsp start nbsptonbsp end returnnbsp answer accepted differs correct answer e nbsp example input n edge succprob start end output explanation nbspthere two path start end one probability success example input n edge succprob start end output example input n edge succprob start end output explanation nbspthere path nbsp constraint lt n lt lt start end lt n start end lt b lt n b lt succproblength edgeslength lt lt succprobi lt one edge every two node,array graph heap priority queue shortest path,algorithm,multiplying probability result precision error take log probability sum number instead multiplying use dijkstras algorithm find minimum path two node negating cost,title number way arrive destination titleslug numberofwaystoarriveatdestination difficulty medium translatedtitle null,TITLE path maximum probability CATEGORY algorithm TOPICS array graph heap priority queue shortest path DESCRIPTION given undirected weighted graph ofnbsp n nbspnodes indexed represented edge list wherenbsp edgesi b nbspis undirected edge connecting nodesnbsp nbspandnbsp b nbspwith probability success traversing edgenbsp succprobi given two nodesnbsp start nbspandnbsp end find path maximum probability success go fromnbsp start nbsptonbsp end nbspand return success probability path fromnbsp start nbsptonbsp end returnnbsp answer accepted differs correct answer e nbsp example input n edge succprob start end output explanation nbspthere two path start end one probability success example input n edge succprob start end output example input n edge succprob start end output explanation nbspthere path nbsp constraint lt n lt lt start end lt n start end lt b lt n b lt succproblength edgeslength lt lt succprobi lt one edge every two node HINTS multiplying probability result precision error take log probability sum number instead multiplying use dijkstras algorithm find minimum path two node negating cost SIMILAR title number way arrive destination titleslug numberofwaystoarriveatdestination difficulty medium translatedtitle null,175
1204,last person fit bus,table queue column name type personid int personname varchar weight int turn int personid column contains unique value table information people waiting bus personid turn column contain number n n number row table turn determines order people board bus turn denotes first person board turnn denotes last person board weight weight person kilogram nbsp queue people waiting board bus however bus weight limit kilogram may people cannot board write solution find personname last person fit bus without exceeding weight limit test case generated first person exceed weight limit note one person board bus given turn thenbspresult format following example nbsp example input queue table personid personname weight turn alice bob alex john cena winston marie output personname john cena explanation folowing table ordered turn simplicity turn id name weight total weight alice alex john cena last person board marie cannot board bob winston,database,database,,title running total different gender titleslug runningtotalfordifferentgenders difficulty medium translatedtitle null title number senior junior join company titleslug thenumberofseniorsandjuniorstojointhecompany difficulty hard translatedtitle null title number senior junior join company ii titleslug thenumberofseniorsandjuniorstojointhecompanyii difficulty hard translatedtitle null,TITLE last person fit bus CATEGORY database TOPICS database DESCRIPTION table queue column name type personid int personname varchar weight int turn int personid column contains unique value table information people waiting bus personid turn column contain number n n number row table turn determines order people board bus turn denotes first person board turnn denotes last person board weight weight person kilogram nbsp queue people waiting board bus however bus weight limit kilogram may people cannot board write solution find personname last person fit bus without exceeding weight limit test case generated first person exceed weight limit note one person board bus given turn thenbspresult format following example nbsp example input queue table personid personname weight turn alice bob alex john cena winston marie output personname john cena explanation folowing table ordered turn simplicity turn id name weight total weight alice alex john cena last person board marie cannot board bob winston HINTS  SIMILAR title running total different gender titleslug runningtotalfordifferentgenders difficulty medium translatedtitle null title number senior junior join company titleslug thenumberofseniorsandjuniorstojointhecompany difficulty hard translatedtitle null title number senior junior join company ii titleslug thenumberofseniorsandjuniorstojointhecompanyii difficulty hard translatedtitle null,191
1219,path maximum gold,gold mine grid size x n cell mine integer representing amount gold cell empty return maximum amount gold collect condition every time located cell collect gold cell position walk one step left right visit cell never visit cell gold start stop collecting gold position grid gold nbsp example input grid output explanation path get maximum gold gt gt example input grid output explanation path get maximum gold gt gt gt gt gt gt nbsp constraint gridlength n gridilength lt n lt lt gridij lt cell containing gold,array backtracking matrix,algorithm,use recursion try path find one maximum value,,TITLE path maximum gold CATEGORY algorithm TOPICS array backtracking matrix DESCRIPTION gold mine grid size x n cell mine integer representing amount gold cell empty return maximum amount gold collect condition every time located cell collect gold cell position walk one step left right visit cell never visit cell gold start stop collecting gold position grid gold nbsp example input grid output explanation path get maximum gold gt gt example input grid output explanation path get maximum gold gt gt gt gt gt gt nbsp constraint gridlength n gridilength lt n lt lt gridij lt cell containing gold HINTS use recursion try path find one maximum value SIMILAR ,108
1211,query quality percentage,table query column name type queryname varchar result varchar position int rating int table may duplicate row table contains information collected query database position column value rating column value query rating less poor query nbsp define query quality average ratio query rating position also define poor query percentage percentage query rating less write solution find queryname quality poorquerypercentage quality poorquerypercentage rounded decimal place return result table order thenbspresult format following example nbsp example input query table queryname result position rating dog golden retriever dog german shepherd dog mule cat shirazi cat siamese cat sphynx output queryname quality poorquerypercentage dog cat explanation dog query quality dog query poor querypercentage cat query quality equal cat query poor querypercentage,database,database,,title percentage user attended contest titleslug percentageofusersattendedacontest difficulty easy translatedtitle null,TITLE query quality percentage CATEGORY database TOPICS database DESCRIPTION table query column name type queryname varchar result varchar position int rating int table may duplicate row table contains information collected query database position column value rating column value query rating less poor query nbsp define query quality average ratio query rating position also define poor query percentage percentage query rating less write solution find queryname quality poorquerypercentage quality poorquerypercentage rounded decimal place return result table order thenbspresult format following example nbsp example input query table queryname result position rating dog golden retriever dog german shepherd dog mule cat shirazi cat siamese cat sphynx output queryname quality poorquerypercentage dog cat explanation dog query quality dog query poor querypercentage cat query quality equal cat query poor querypercentage HINTS  SIMILAR title percentage user attended contest titleslug percentageofusersattendedacontest difficulty easy translatedtitle null,138
1232,check straight line,given arraynbsp coordinate coordinatesi x x represents coordinate point check pointsnbspmake straight line xy plane nbsp nbsp example input coordinate output true example input coordinate output false nbsp constraint ltnbspcoordinateslength lt coordinatesilength ltnbspcoordinatesi nbspcoordinatesi lt coordinate nbspcontains duplicate point,array math geometry,algorithm,therere point return true check point lie line defined first point use cross product check collinearity,,TITLE check straight line CATEGORY algorithm TOPICS array math geometry DESCRIPTION given arraynbsp coordinate coordinatesi x x represents coordinate point check pointsnbspmake straight line xy plane nbsp nbsp example input coordinate output true example input coordinate output false nbsp constraint ltnbspcoordinateslength lt coordinatesilength ltnbspcoordinatesi nbspcoordinatesi lt coordinate nbspcontains duplicate point HINTS therere point return true check point lie line defined first point use cross product check collinearity SIMILAR ,68
1233,remove subfolders filesystem,given list folder folder return folder removing subfolders folder may return answer order folderi located within another folderj called subfolder subfolder folderj must start folderj followed quotquot example quotabquot subfolder quotaquot quotbquot subfolder quotabcquot format path one concatenated string form followed one lowercase english letter example quotleetcodequot quotleetcodeproblemsquot valid path empty string quotquot nbsp example input folder quotaquotquotabquotquotcdquotquotcdequotquotcfquot output quotaquotquotcdquotquotcfquot explanation folder quotabquot subfolder quotaquot quotcdequot inside folder quotcdquot filesystem example input folder quotaquotquotabcquotquotabdquot output quotaquot explanation folder quotabcquot quotabdquot removed subfolders quotaquot example input folder quotabcquotquotabcaquotquotabdquot output quotabcquotquotabcaquotquotabdquot nbsp constraint lt folderlength lt lt folderilength lt folderi contains lowercase letter folderi always start character folder name unique,array string depthfirst search trie,algorithm,sort folder lexicographically insert current element array loop get rid subfolders repeat element left,,TITLE remove subfolders filesystem CATEGORY algorithm TOPICS array string depthfirst search trie DESCRIPTION given list folder folder return folder removing subfolders folder may return answer order folderi located within another folderj called subfolder subfolder folderj must start folderj followed quotquot example quotabquot subfolder quotaquot quotbquot subfolder quotabcquot format path one concatenated string form followed one lowercase english letter example quotleetcodequot quotleetcodeproblemsquot valid path empty string quotquot nbsp example input folder quotaquotquotabquotquotcdquotquotcdequotquotcfquot output quotaquotquotcdquotquotcfquot explanation folder quotabquot subfolder quotaquot quotcdequot inside folder quotcdquot filesystem example input folder quotaquotquotabcquotquotabdquot output quotaquot explanation folder quotabcquot quotabdquot removed subfolders quotaquot example input folder quotabcquotquotabcaquotquotabdquot output quotabcquotquotabcaquotquotabdquot nbsp constraint lt folderlength lt lt folderilength lt folderi contains lowercase letter folderi always start character folder name unique HINTS sort folder lexicographically insert current element array loop get rid subfolders repeat element left SIMILAR ,137
